AreaCode,AreaName,Date,CumulatedCase,CumulatedDeath,CumulatedFirstVaccin
K02000001,United Kingdom,16/3/2022,29682.2,189254,52721459
E12000001,North East,15/3/2022,853085,8809,2082929
E12000002,North West,15/3/2022,2344755,25338,5603626
E12000003,Yorkshire and The Humber,15/3/2022,1636886,16348,4193406
E12000004,East Midlands,15/3/2022,1429119,14629,3761610
E12000005,West Midlands,15/3/2022,1727835,19126,4442014
E12000006,East of England,15/3/2022,1800312,18163,4891907
E12000007,London,15/3/2022,2648327,22925,6437006
E12000008,South East,15/3/2022,2648845,24808,7312260
E12000009,South West,15/3/2022,1492102,10750,4601025
K02000001,United Kingdom,15/3/2022,29546.5,189114,52717450
E12000001,North East,14/3/2022,850853,8809,2082908
E12000002,North West,14/3/2022,2337658,25330,5603280
E12000003,Yorkshire and The Humber,14/3/2022,1632269,16341,4193053
E12000004,East Midlands,14/3/2022,1424081,14619,3761511
E12000005,West Midlands,14/3/2022,1722636,19114,4441994
E12000006,East of England,14/3/2022,1791334,18149,4891857
E12000007,London,14/3/2022,2640667,22917,6436123
E12000008,South East,14/3/2022,2635771,24788,7312061
E12000009,South West,14/3/2022,1482191,10734,4601043
K02000001,United Kingdom,14/3/2022,29368.8,188997,52713188
E12000001,North East,13/3/2022,,8806,2082817
E12000002,North West,13/3/2022,,25316,5602768
E12000003,Yorkshire and The Humber,13/3/2022,,16333,4192738
E12000004,East Midlands,13/3/2022,,14603,3761289
E12000005,West Midlands,13/3/2022,,19108,4441640
E12000006,East of England,13/3/2022,,18137,4891595
E12000007,London,13/3/2022,,22907,6434862
E12000008,South East,13/3/2022,,24761,7311671
E12000009,South West,13/3/2022,,10718,4600689
K02000001,United Kingdom,13/3/2022,29114.7,188859,52708425
E12000001,North East,12/3/2022,,8803,2082503
E12000002,North West,12/3/2022,,25308,5601766
E12000003,Yorkshire and The Humber,12/3/2022,,16323,4192162
E12000004,East Midlands,12/3/2022,,14596,3760854
E12000005,West Midlands,12/3/2022,,19100,4440991
E12000006,East of England,12/3/2022,,18127,4891313
E12000007,London,12/3/2022,,22900,6432451
E12000008,South East,12/3/2022,,24745,7310746
E12000009,South West,12/3/2022,,10710,4600160
K02000001,United Kingdom,12/3/2022,29114.7,188752,52704574
E12000001,North East,11/3/2022,845603,8801,2082503
E12000002,North West,11/3/2022,2320618,25303,5601766
E12000003,Yorkshire and The Humber,11/3/2022,1620732,16307,4192162
E12000004,East Midlands,11/3/2022,1411112,14590,3760854
E12000005,West Midlands,11/3/2022,1709911,19086,4440991
E12000006,East of England,11/3/2022,1768769,18120,4891313
E12000007,London,11/3/2022,2619504,22884,6432451
E12000008,South East,11/3/2022,2600648,24731,7310746
E12000009,South West,11/3/2022,1458317,10695,4600160
K02000001,United Kingdom,11/3/2022,29114.7,188635,52696527
E12000001,North East,10/3/2022,844120,8800,2082503
E12000002,North West,10/3/2022,2314777,25294,5601766
E12000003,Yorkshire and The Humber,10/3/2022,1617048,16303,4192162
E12000004,East Midlands,10/3/2022,1406515,14575,3760854
E12000005,West Midlands,10/3/2022,1705500,19073,4440991
E12000006,East of England,10/3/2022,1761033,18108,4891313
E12000007,London,10/3/2022,2612092,22874,6432451
E12000008,South East,10/3/2022,2588556,24715,7310746
